Temperature F;Humidity;Wind Speed;Total Users;Date
78;70;13;353;04.09.2011
62.5;83;26;67;05.09.2011
64.2;94;0;22;06.09.2011
72.8;94;15;102;07.09.2011
71.1;94;0;75;08.09.2011
78;62;15;404;09.09.2011
76.3;65;0;411;10.09.2011
78;51;13;184;11.09.2011
78;58;15;187;12.09.2011
79.8;58;15;212;13.09.2011
72.8;69;20;179;14.09.2011
60.8;45;0;251;15.09.2011
60.8;67;15;372;16.09.2011
62.5;64;9;364;17.09.2011
65.9;60;6;189;18.09.2011
64.2;94;11;60;19.09.2011
71.1;78;6;193;20.09.2011
72.8;83;11;176;21.09.2011
69.4;94;7;29;22.09.2011
69.4;83;6;407;23.09.2011
72.8;78;0;413;24.09.2011
74.6;79;11;209;25.09.2011
72.8;89;9;162;26.09.2011
74.6;79;0;184;27.09.2011
72.8;61;11;195;28.09.2011
71.1;57;13;254;29.09.2011
50.4;82;17;158;30.09.2011
50.4;62;13;321;01.10.2011
50.4;71;9;147;02.10.2011
64.2;56;20;199;03.10.2011
69.4;43;22;214;04.10.2011
64.2;49;6;226;05.10.2011
67.7;53;0;235;06.10.2011
69.4;35;0;446;07.10.2011
71.1;44;6;455;08.10.2011
76.3;48;6;365;09.10.2011
67.7;73;11;181;10.10.2011
62.5;88;22;62;11.10.2011
69.4;88;0;105;12.10.2011
60.8;88;11;75;13.10.2011
65.9;35;37;456;14.10.2011
65.9;35;17;444;15.10.2011
64.2;40;6;205;16.10.2011
69.4;43;6;201;17.10.2011
60.8;94;22;130;18.10.2011
57.3;48;35;199;19.10.2011
59;45;20;240;20.10.2011
55.6;55;6;343;21.10.2011
59;59;17;413;22.10.2011
60.8;68;7;220;23.10.2011
62.5;39;24;200;24.10.2011
65.9;53;15;194;25.10.2011
59;88;9;53;26.10.2011
48.7;40;11;213;27.10.2011
36.6;87;33;50;28.10.2011
48.7;50;13;314;29.10.2011
52.1;44;15;170;30.10.2011
59;48;6;176;31.10.2011
55.6;55;11;189;01.11.2011
59;51;13;179;02.11.2011
57.3;55;33;197;03.11.2011
47;46;11;372;04.11.2011
53.9;54;0;346;05.11.2011
55.6;67;0;179;06.11.2011
60.8;52;9;203;07.11.2011
59;51;11;180;08.11.2011
52.1;67;24;167;09.11.2011
45.2;42;31;239;10.11.2011
53.9;44;19;366;11.11.2011
60.8;29;28;354;12.11.2011
64.2;56;20;202;13.11.2011
62.5;68;0;176;14.11.2011
55.6;100;0;54;15.11.2011
45.2;53;20;121;16.11.2011
43.5;33;0;165;17.11.2011
50.4;35;19;311;18.11.2011
59;63;9;304;19.11.2011
59;77;9;162;20.11.2011
50.4;100;6;21;21.11.2011
57.3;55;28;160;22.11.2011
55.6;36;15;150;23.11.2011
55.6;51;7;272;24.11.2011
53.9;51;0;309;25.11.2011
62.5;56;19;256;26.11.2011
64.2;60;7;178;27.11.2011
52.1;82;28;18;28.11.2011
47;53;19;160;29.11.2011
47;46;15;148;30.11.2011
47;57;9;204;01.12.2011
47;50;0;358;02.12.2011
47;81;11;329;03.12.2011
50.4;76;7;154;04.12.2011
55.6;100;15;55;05.12.2011
53.9;100;9;33;06.12.2011
40;52;22;156;07.12.2011
47;57;20;173;08.12.2011
43.5;45;28;283;09.12.2011
38.3;35;0;288;10.12.2011
40;52;7;145;11.12.2011
47;43;24;167;12.12.2011
47;57;6;144;13.12.2011
55.6;59;33;157;14.12.2011
45.2;42;24;173;15.12.2011
40;45;19;244;16.12.2011
38.3;60;15;228;17.12.2011
41.8;61;22;141;18.12.2011
53.9;54;9;175;19.12.2011
55.6;88;26;61;20.12.2011
57.3;55;0;202;21.12.2011
50.4;54;35;170;22.12.2011
45.2;39;19;94;23.12.2011
41.8;75;20;66;24.12.2011
47;43;31;100;25.12.2011
41.8;81;6;24;26.12.2011
45.2;46;37;140;27.12.2011
38.3;56;7;130;28.12.2011
43.5;57;9;197;29.12.2011
60.8;39;20;273;30.12.2011
50.4;62;19;201;31.12.2011
40;36;17;202;01.01.2012
31.4;37;35;74;02.01.2012
24.5;46;13;84;03.01.2012
41.8;49;17;120;04.01.2012
47;50;17;191;05.01.2012
50.4;43;15;376;06.01.2012
48.7;43;15;351;07.01.2012
38.3;56;7;103;08.01.2012
52.1;38;20;140;09.01.2012
41.8;81;0;55;10.01.2012
45.2;81;7;144;11.01.2012
36.6;38;33;154;12.01.2012
34.9;41;17;219;13.01.2012
31.4;40;20;234;14.01.2012
33.1;55;22;185;15.01.2012
43.5;87;19;86;16.01.2012
41.8;39;33;161;17.01.2012
33.1;51;13;111;18.01.2012
33.1;34;22;124;19.01.2012
33.1;80;11;67;20.01.2012
29.7;80;15;185;21.01.2012
34.9;93;0;62;22.01.2012
45.2;87;11;175;23.01.2012
43.5;53;9;193;24.01.2012
45.2;81;9;165;25.01.2012
59;88;11;180;26.01.2012
41.8;61;19;314;27.01.2012
43.5;26;15;288;28.01.2012
38.3;35;26;134;29.01.2012
50.4;43;20;194;30.01.2012
53.9;54;7;179;31.01.2012
52.1;82;0;148;01.02.2012
45.2;46;9;216;02.02.2012
41.8;70;6;300;03.02.2012
38.3;65;13;248;04.02.2012
43.5;61;11;150;05.02.2012
50.4;40;22;172;06.02.2012
40;65;19;138;07.02.2012
38.3;48;22;158;08.02.2012
41.8;42;9;176;09.02.2012
38.3;81;11;221;10.02.2012
28;39;43;140;11.02.2012
40;28;22;118;12.02.2012
41.8;52;15;172;13.02.2012
48.7;46;26;163;14.02.2012
43.5;76;6;45;15.02.2012
48.7;46;26;198;16.02.2012
47;43;13;369;17.02.2012
40;52;17;255;18.02.2012
40;45;15;281;19.02.2012
41.8;56;26;163;20.02.2012
50.4;62;19;207;21.02.2012
59;42;17;224;22.02.2012
50.4;76;9;228;23.02.2012
43.5;29;44;258;24.02.2012
41.8;39;9;305;25.02.2012
50.4;37;20;177;26.02.2012
47;34;9;183;27.02.2012
43.5;93;22;70;28.02.2012
64.2;37;15;220;29.02.2012
50.4;43;11;234;01.03.2012
52.1;67;17;299;02.03.2012
45.2;42;24;327;03.03.2012
38.3;52;0;137;04.03.2012
38.3;41;7;138;05.03.2012
53.9;38;26;215;06.03.2012
64.2;60;30;251;07.03.2012
47;34;28;201;08.03.2012
41.8;33;22;329;09.03.2012
50.4;37;20;410;10.03.2012
57.3;39;15;221;11.03.2012
67.7;60;19;244;12.03.2012
71.1;29;0;267;13.03.2012
69.4;50;9;265;14.03.2012
53.9;82;9;294;15.03.2012
64.2;68;11;651;16.03.2012
53.9;88;9;503;17.03.2012
67.7;64;17;282;18.03.2012
67.7;78;17;261;19.03.2012
62.5;77;0;229;20.03.2012
62.5;88;13;272;21.03.2012
72.8;61;15;471;22.03.2012
60.8;94;15;183;23.03.2012
50.4;94;15;360;24.03.2012
57.3;33;35;279;25.03.2012
43.5;31;11;220;26.03.2012
62.5;39;24;268;27.03.2012
59;42;33;292;28.03.2012
48.7;54;0;270;29.03.2012
57.3;67;0;621;30.03.2012
52.1;67;15;445;31.03.2012
53.9;44;30;281;01.04.2012
60.8;25;0;331;02.04.2012
67.7;46;28;283;03.04.2012
53.9;33;0;276;04.04.2012
52.1;35;20;337;05.04.2012
55.6;23;26;590;06.04.2012
62.5;24;17;457;07.04.2012
62.5;28;48;280;08.04.2012
62.5;22;19;259;09.04.2012
47;46;26;182;10.04.2012
55.6;41;30;259;11.04.2012
59;31;0;322;12.04.2012
65.9;35;17;678;13.04.2012
71.1;44;19;635;14.04.2012
74.6;57;17;271;15.04.2012
67.7;33;24;244;16.04.2012
55.6;51;7;110;17.04.2012
62.5;49;0;264;18.04.2012
65.9;53;13;362;19.04.2012
71.1;57;15;640;20.04.2012
48.7;87;22;61;21.04.2012
45.2;71;24;129;22.04.2012
57.3;29;26;224;23.04.2012
62.5;28;19;269;24.04.2012
60.8;83;9;204;25.04.2012
55.6;36;24;307;26.04.2012
48.7;43;0;381;27.04.2012
57.3;44;7;584;28.04.2012
53.9;47;9;225;29.04.2012
76.3;58;15;269;30.04.2012
65.9;83;15;245;01.05.2012
64.2;73;9;301;02.05.2012
69.4;78;24;171;03.05.2012
78;58;7;550;04.05.2012
67.7;64;6;558;05.05.2012
64.2;68;15;263;06.05.2012
69.4;65;22;263;07.05.2012
69.4;57;15;280;08.05.2012
60.8;48;28;272;09.05.2012
64.2;28;28;348;10.05.2012
71.1;36;11;559;11.05.2012
71.1;57;15;531;12.05.2012
64.2;88;19;185;13.05.2012
71.1;73;13;264;14.05.2012
76.3;54;13;330;15.05.2012
67.7;43;13;348;16.05.2012
69.4;41;13;360;17.05.2012
72.8;36;0;642;18.05.2012
74.6;36;22;637;19.05.2012
67.7;83;17;170;20.05.2012
69.4;78;7;254;21.05.2012
72.8;69;6;248;22.05.2012
76.3;58;7;289;23.05.2012
78;66;7;321;24.05.2012
79.8;66;15;529;25.05.2012
79.8;66;17;570;26.05.2012
81.5;62;9;525;27.05.2012
84.9;55;22;237;28.05.2012
76.3;54;0;253;29.05.2012
78;37;13;292;30.05.2012
76.3;74;24;310;31.05.2012
69.4;43;24;668;01.06.2012
72.8;39;20;684;02.06.2012
71.1;41;30;282;03.06.2012
62.5;56;15;247;04.06.2012
69.4;38;0;315;05.06.2012
76.3;42;0;336;06.06.2012
78;39;22;369;07.06.2012
84.9;29;17;531;08.06.2012
86.7;30;0;502;09.06.2012
84.9;43;13;261;10.06.2012
72.8;83;17;95;11.06.2012
74.6;44;28;334;12.06.2012
72.8;61;15;265;13.06.2012
76.3;45;11;403;14.06.2012
74.6;41;7;603;15.06.2012
69.4;57;0;615;16.06.2012
64.2;78;9;168;17.06.2012
76.3;65;6;292;18.06.2012
90.1;47;11;180;19.06.2012
93.6;35;13;215;20.06.2012
88.4;49;9;254;21.06.2012
84.9;43;13;602;22.06.2012
84.9;33;15;556;23.06.2012
81.5;45;20;270;24.06.2012
72.8;34;30;308;25.06.2012
81.5;29;20;322;26.06.2012
88.4;26;19;276;27.06.2012
95.3;40;17;226;28.06.2012
91.8;30;17;471;29.06.2012
93.6;37;15;433;30.06.2012
88.4;32;13;257;01.07.2012
91.8;28;13;272;02.07.2012
90.1;41;15;494;03.07.2012
93.6;35;24;276;04.07.2012
91.8;28;7;331;05.07.2012
98.7;31;24;342;06.07.2012
95.3;42;13;376;07.07.2012
79.8;58;9;266;08.07.2012
84.9;41;9;272;09.07.2012
83.2;43;0;292;10.07.2012
83.2;35;9;292;11.07.2012
81.5;40;7;379;12.07.2012
79.8;66;6;499;13.07.2012
88.4;47;7;489;14.07.2012
88.4;49;9;237;15.07.2012
93.6;35;0;254;16.07.2012
95.3;37;9;202;17.07.2012
88.4;49;19;274;18.07.2012
74.6;83;11;274;19.07.2012
67.7;83;15;457;20.07.2012
76.3;70;7;504;21.07.2012
84.9;52;11;314;22.07.2012
86.7;56;15;229;23.07.2012
81.5;33;0;310;24.07.2012
88.4;56;17;279;25.07.2012
88.4;49;24;299;26.07.2012
88.4;41;15;487;27.07.2012
81.5;55;22;511;28.07.2012
81.5;58;7;278;29.07.2012
84.9;46;0;248;30.07.2012
84.9;49;7;284;31.07.2012
88.4;44;9;286;01.08.2012
90.1;50;20;338;02.08.2012
90.1;40;24;547;03.08.2012
90.1;47;35;491;04.08.2012
83.2;55;6;285;05.08.2012
84.9;55;9;283;06.08.2012
84.9;52;0;280;07.08.2012
88.4;44;7;277;08.08.2012
79.8;66;24;315;09.08.2012
81.5;58;15;546;10.08.2012
79.8;42;13;505;11.08.2012
83.2;40;13;276;12.08.2012
83.2;49;9;300;13.08.2012
79.8;55;15;307;14.08.2012
84.9;33;7;343;15.08.2012
86.7;41;15;365;16.08.2012
81.5;37;13;654;17.08.2012
71.1;73;0;298;18.08.2012
72.8;61;7;282;19.08.2012
78;45;0;305;20.08.2012
79.8;51;0;312;21.08.2012
83.2;38;0;332;22.08.2012
81.5;45;6;371;23.08.2012
78;54;26;584;24.08.2012
78;74;24;626;25.08.2012
81.5;62;0;283;26.08.2012
84.9;49;19;297;27.08.2012
81.5;40;0;360;28.08.2012
81.5;45;9;294;29.08.2012
90.1;26;17;410;30.08.2012
84.9;55;11;471;31.08.2012
79.8;70;0;545;01.09.2012
81.5;62;20;543;02.09.2012
81.5;70;19;287;03.09.2012
83.2;70;7;266;04.09.2012
78;79;15;137;05.09.2012
83.2;59;11;323;06.09.2012
84.9;55;33;694;07.09.2012
72.8;47;0;757;08.09.2012
71.1;44;26;332;09.09.2012
71.1;33;0;316;10.09.2012
74.6;36;9;352;11.09.2012
74.6;44;7;297;12.09.2012
76.3;54;13;409;13.09.2012
72.8;36;24;706;14.09.2012
72.8;44;11;656;15.09.2012
69.4;69;13;295;16.09.2012
74.6;83;30;88;17.09.2012
67.7;43;17;313;18.09.2012
69.4;43;9;290;19.09.2012
74.6;57;11;389;20.09.2012
78;54;20;688;21.09.2012
64.2;43;7;776;22.09.2012
64.2;35;20;342;23.09.2012
69.4;43;19;302;24.09.2012
74.6;61;15;316;25.09.2012
79.8;48;9;335;26.09.2012
76.3;54;17;380;27.09.2012
69.4;41;20;682;28.09.2012
69.4;41;20;680;29.09.2012
67.7;43;11;323;30.09.2012
67.7;88;13;104;01.10.2012
76.3;70;7;358;02.10.2012
78;54;13;288;03.10.2012
78;42;11;468;04.10.2012
76.3;54;7;743;05.10.2012
52.1;71;0;392;06.10.2012
52.1;63;11;341;07.10.2012
57.3;69;13;260;08.10.2012
62.5;56;15;390;09.10.2012
55.6;36;0;326;10.10.2012
62.5;39;31;387;11.10.2012
53.9;35;0;573;12.10.2012
69.4;46;22;562;13.10.2012
67.7;78;22;284;14.10.2012
60.8;45;22;325;15.10.2012
60.8;48;11;332;16.10.2012
67.7;53;17;377;17.10.2012
71.1;69;15;332;18.10.2012
64.2;46;7;703;19.10.2012
62.5;39;22;675;20.10.2012
65.9;35;0;283;21.10.2012
69.4;46;6;378;22.10.2012
69.4;61;6;316;23.10.2012
64.2;78;7;319;24.10.2012
65.9;73;13;392;25.10.2012
67.7;53;17;668;26.10.2012
57.3;59;33;491;27.10.2012
50.4;58;13;241;28.10.2012
48.7;62;11;221;29.10.2012
52.1;41;24;292;30.10.2012
47;46;31;394;31.10.2012
48.7;46;15;504;01.11.2012
47;43;22;244;02.11.2012
43.5;45;9;248;03.11.2012
43.5;53;19;212;04.11.2012
50.4;24;33;235;05.11.2012
53.9;41;22;262;06.11.2012
57.3;48;0;606;07.11.2012
59;48;6;585;08.11.2012
64.2;64;15;419;09.11.2012
45.2;61;19;196;10.11.2012
45.2;46;0;240;11.11.2012
47;62;7;213;12.11.2012
50.4;43;19;290;13.11.2012
50.4;40;11;476;14.11.2012
50.4;62;19;442;15.11.2012
50.4;62;19;242;16.11.2012
52.1;67;0;313;17.11.2012
53.9;41;13;344;18.11.2012
53.9;35;0;262;19.11.2012
53.9;38;17;379;20.11.2012
41.8;36;41;199;21.11.2012
38.3;41;15;202;22.11.2012
52.1;35;7;210;23.11.2012
40;87;26;76;24.11.2012
45.2;42;26;208;25.11.2012
47;40;11;236;26.11.2012
48.7;46;0;268;27.11.2012
43.5;81;6;446;28.11.2012
45.2;81;11;520;29.11.2012
60.8;68;11;268;30.11.2012
60.8;68;13;312;01.12.2012
53.9;41;19;232;02.12.2012
40;41;0;235;03.12.2012
45.2;71;13;240;04.12.2012
50.4;87;15;486;05.12.2012
50.4;82;20;315;06.12.2012
53.9;100;15;173;07.12.2012
47;53;30;226;08.12.2012
45.2;42;0;232;09.12.2012
47;40;17;282;10.12.2012
47;50;13;273;11.12.2012
48.7;50;6;453;12.12.2012
48.7;82;13;417;13.12.2012
50.4;87;0;232;14.12.2012
57.3;48;17;313;15.12.2012
50.4;54;19;236;16.12.2012
47;53;11;212;17.12.2012
43.5;39;24;224;18.12.2012
41.8;36;44;146;19.12.2012
41.8;42;13;196;20.12.2012
40;56;6;135;21.12.2012
43.5;76;6;114;22.12.2012
34.9;87;22;10;23.12.2012
41.8;49;31;109;24.12.2012
41.8;49;9;222;25.12.2012
33.1;100;0;48;26.12.2012
40;36;39;144;27.12.2012
36.6;56;13;224;28.12.2012
